"SCS","ISC","NRUSC","tRU","requiredSNR","IRU","NRU","ITBS","Qm","TBS","numTrBlks","NRep","SNR","BLER","TTI","pathloss","datarate","bandwidth"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,14,0,96,144,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,13,0.02,96,145,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,12,0.03,96,146,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,11,0.04,96,147,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,10,0.03,96,148,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,9,0.05,96,149,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,8,0.1,96,150,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,1,7,0.07,96,151,3.41666666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,2,6,0.01,192,152,1.70833333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,2,5,0.02,192,153,1.70833333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,2,4,0.05,192,154,1.70833333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,2,3,0.04,192,155,1.70833333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,2,2,0.07,192,156,1.70833333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,2,1,0.08,192,157,1.70833333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,0,0,384,158,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-1,0.02,384,159,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-2,0.04,384,160,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-3,0.04,384,161,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-4,0.09,384,162,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-5,0.04,384,163,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-6,0.08,384,164,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,328,100,4,-7,0.1,384,165,0.854166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,16,0,96,142,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,15,0,96,143,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,14,0,96,144,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,13,0.06,96,145,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,12,0.01,96,146,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,11,0,96,147,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,10,0.02,96,148,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,9,0.08,96,149,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,8,0.01,192,150,2.125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,1,7,0.06,96,151,4.25,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,6,0.01,192,152,2.125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,5,0.03,192,153,2.125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,4,0.05,192,154,2.125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,3,0.03,192,155,2.125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,2,0.09,192,156,2.125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,408,100,2,1,0.1,192,157,2.125,"3,75"
